order_id,order_date,lane,orig_port_cd,dest_port_cd,carrier,mode_dsc,is_on_time,is_late,ship_late_day_count,freight_cost_est,risk_score,risk_band
1447137231.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447137232.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447137233.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447137234.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447137235.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447137236.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447137237.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447138689.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447138894.7,2013-05-26,PORT09 → PORT09,PORT09,PORT09,V44_3,,True,False,0,0.0,2.0000000000000004,Low
1447138896.7,2013-05-26,PORT09 → PORT09,PORT09,PORT09,V44_3,,True,False,0,0.0,2.0000000000000004,Low
1447138898.7,2013-05-26,PORT09 → PORT09,PORT09,PORT09,V44_3,,True,False,0,0.0,2.0000000000000004,Low
1447138902.7,2013-05-26,PORT09 → PORT09,PORT09,PORT09,V44_3,,True,False,0,0.0,2.0000000000000004,Low
1447138904.7,2013-05-26,PORT09 → PORT09,PORT09,PORT09,V44_3,,True,False,0,0.0,2.0000000000000004,Low
1447139268.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,15.188797459159652,3.6250074675231154,Low
1447139280.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.3192,2.872495436842585,Low
1447139286.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447139374.7,2013-05-26,PORT09 → PORT09,PORT09,PORT09,V44_3,,True,False,0,0.0,2.0000000000000004,Low
1447139386.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.2604,2.872474957510227,Low
1447139823.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.3804,2.8725167520660597,Low
1447139824.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.8269506896551715,2.872672280297151,Low
1447139825.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.202,2.872454617493055,Low
1447139826.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.2604,2.872474957510227,Low
1447139827.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.202,2.872454617493055,Low
1447139828.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,1.202,2.872454617493055,Low
1447140259.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447140282.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447140283.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141509.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141510.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141511.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141512.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141577.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141578.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141579.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141580.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141581.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141582.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141619.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_1,AIR   ,True,False,0,5.011459754014908,2.873781406479569,Low
1447141860.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,24.19761082039989,3.6281451287982227,Low
1447141880.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
1447141980.7,2013-05-26,PORT04 → PORT09,PORT04,PORT09,V444_0,AIR   ,True,False,0,1.4992,3.6202395454786624,Low
