order_id,order_date,orig_port_cd,dest_port_cd,carrier,plant_code,customer,product_id,unit_quantity,weight,tpt,svc_cd,ship_ahead_day_count,ship_late_day_count,is_on_time,is_late,is_early,mode_dsc,carrier_type,minimum_cost,rate,freight_cost_est,daily_capacity,wh_cost_per_unit
1447241405.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1680562,1443,13.463661288411805,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241407.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1683419,330,1.5767118335676482,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241408.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1683392,289,0.7185599996910058,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241411.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1683432,729,35.996835807929024,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.7422468531037647,1013,0.5175018916254618
1447241412.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1682805,302,0.5154898487973945,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241417.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_2,1687346,421,2.671536282926112,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241419.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1683407,484,24.904286984879924,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241424.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V555555555555555555_17,1696746,274,1.414218149680124,1,DTD,1,0,True,False,True,AIR   ,V888888883_1,1.3192,0.3192,1.3192,1013,0.5175018916254618
1447241470.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1645070,257,0.5896549773913049,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241499.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V55555555555555_8,1690616,272,0.4713504482841577,1,DTD,5,0,True,False,True,AIR   ,V888888883_1,1.202,0.2019999999999999,1.202,1013,0.5175018916254618
1447241500.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V55555555555555_8,1688294,357,3.43339773550478,1,DTD,5,0,True,False,True,AIR   ,V888888883_1,1.202,0.2019999999999999,1.202,1013,0.5175018916254618
1447241502.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V55555555555555_8,1689549,308,1.916870878104567,1,DTD,5,0,True,False,True,AIR   ,V888888883_1,1.3804,0.3804,1.3804,1013,0.5175018916254618
1447241504.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V55555555555555_8,1688292,293,1.0960186791998714,1,DTD,5,0,True,False,True,AIR   ,V888888883_1,1.3192,0.3192,1.3192,1013,0.5175018916254618
1447241506.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1672034,244,0.1114933596901662,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241508.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1672034,278,1.7838937550426597,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241510.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1672034,326,0.2229867193803324,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241512.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1672034,308,1.114933596901662,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241514.7,2013-05-26,PORT04,PORT09,V444_1,PLANT03,V55555555555555_8,1688587,359,3.648305157612521,1,DTD,5,0,True,False,True,AIR   ,V888888883_1,1.202,0.2019999999999999,1.202,1013,0.5175018916254618
1447241516.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1682763,301,3.7958691335487535,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241517.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1682763,317,1.485340095736469,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241519.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_2,1696758,270,0.2998623283013857,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241520.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1684170,291,2.318463252260198,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241521.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1684170,282,0.0724519766331311,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241522.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V55555_2,1684170,307,2.753175112058985,2,CRF,3,0,True,False,True,,,,,,1013,0.5175018916254618
1447241525.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V5555555_30,1629341,647,5.775454545454545,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241526.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V555555_6,1672722,1300,75.52,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,3.6551679999999998,1013,0.5175018916254618
1447241593.7,2013-05-26,PORT04,PORT09,V44_3,PLANT03,V555555555555555_29,1699555,1094,2.910980721120423,4,CRF,0,0,True,False,False,,,,,,1013,0.5175018916254618
1447241598.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V555555555_27,1696074,393,0.9767063263779076,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241606.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_2,1668545,292,0.5282901675846713,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241607.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_4,1650571,268,0.0684418261268979,2,DTP,3,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241608.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1671942,302,0.1344593245626371,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241609.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1671942,394,11.86,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241612.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1677891,997,2.3149888324873094,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241613.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1655982,635,2.5,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447241614.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_7,1683203,471,4.078974171762344,2,DTP,5,0,True,False,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242306.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555555_28,1674598,3779,1.6278126990700472,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447242377.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1682805,1363,97.21072353954403,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,4.704999019313931,1013,0.5175018916254618
